Starting GA Evolution for Mars Lander...
Target: X=4500 (Start X=3500). Needs lateral flight.
Gen 158 | Best Fitness: 1008.4
Gen 159 | Best Fitness: 1008.4
Gen 160 | Best Fitness: 1008.4
Gen 161 | Best Fitness: 1008.4
Gen 162 | Best Fitness: 1008.4
Gen 163 | Best Fitness: 1008.4
Gen 164 | Best Fitness: 1008.4
Gen 165 | Best Fitness: 1008.4
Gen 166 | Best Fitness: 1008.4
Gen 167 | Best Fitness: 1008.4
Gen 168 | Best Fitness: 1008.4
Gen 169 | Best Fitness: 1008.4
Gen 170 | Best Fitness: 1008.4
Gen 171 | Best Fitness: 1008.4
Gen 172 | Best Fitness: 1008.4
Gen 173 | Best Fitness: 1008.4
Gen 174 | Best Fitness: 1008.4
Gen 175 | Best Fitness: 1008.4
Gen 176 | Best Fitness: 1008.4
Gen 177 | Best Fitness: 1008.4
Gen 178 | Best Fitness: 1008.4
Gen 179 | Best Fitness: 1008.4
Gen 180 | Best Fitness: 1008.4
Gen 181 | Best Fitness: 1008.4
Gen 182 | Best Fitness: 1008.4
Gen 183 | Best Fitness: 1008.4
Gen 184 | Best Fitness: 1008.4
Gen 185 | Best Fitness: 1008.4
Gen 186 | Best Fitness: 1008.4
Gen 187 | Best Fitness: 1008.4
Gen 188 | Best Fitness: 1008.4
Gen 189 | Best Fitness: 1008.4
Gen 190 | Best Fitness: 1008.4
Gen 191 | Best Fitness: 1008.42
Gen 192 | Best Fitness: 1008.42
Gen 193 | Best Fitness: 1008.42
Gen 194 | Best Fitness: 1008.42
Gen 195 | Best Fitness: 1008.42
Gen 196 | Best Fitness: 1008.42
Gen 197 | Best Fitness: 1008.42
Gen 198 | Best Fitness: 1008.42
Gen 199 | Best Fitness: 1008.42
Gen 200 | Best Fitness: 1008.42
Gen 201 | Best Fitness: 1008.42
Gen 202 | Best Fitness: 1008.42
Gen 203 | Best Fitness: 1008.42
Gen 204 | Best Fitness: 1008.42
Gen 205 | Best Fitness: 1008.42
Gen 206 | Best Fitness: 1008.42
Gen 207 | Best Fitness: 1008.42
Gen 208 | Best Fitness: 1008.42
Gen 209 | Best Fitness: 1008.42
Gen 210 | Best Fitness: 1008.42
Gen 211 | Best Fitness: 1008.42
Gen 212 | Best Fitness: 1008.42
Gen 213 | Best Fitness: 1008.42
Gen 214 | Best Fitness: 1008.42
Gen 215 | Best Fitness: 1008.42
Gen 216 | Best Fitness: 1008.42
Gen 217 | Best Fitness: 1008.42
Gen 218 | Best Fitness: 1008.42
Gen 219 | Best Fitness: 1008.42
Gen 220 | Best Fitness: 1008.42
Gen 221 | Best Fitness: 1008.42
Gen 222 | Best Fitness: 1008.42
Gen 223 | Best Fitness: 1008.42
Gen 224 | Best Fitness: 1008.42
Gen 225 | Best Fitness: 1008.42
Gen 226 | Best Fitness: 1008.42
Gen 227 | Best Fitness: 1008.42
Gen 228 | Best Fitness: 1008.42
Gen 229 | Best Fitness: 1008.42
Gen 230 | Best Fitness: 1008.42
Gen 231 | Best Fitness: 1008.42
Gen 232 | Best Fitness: 1008.42
Gen 233 | Best Fitness: 1008.42
Gen 234 | Best Fitness: 1008.42
Gen 235 | Best Fitness: 1008.42
Gen 236 | Best Fitness: 1008.42
Gen 237 | Best Fitness: 1008.42
Gen 238 | Best Fitness: 1008.42
Gen 239 | Best Fitness: 1008.42
Gen 240 | Best Fitness: 1008.42
Gen 241 | Best Fitness: 1008.42
Gen 242 | Best Fitness: 1008.42
Gen 243 | Best Fitness: 1008.42
Gen 244 | Best Fitness: 1008.42
Gen 245 | Best Fitness: 1008.42
Gen 246 | Best Fitness: 1008.42
Gen 247 | Best Fitness: 1008.42
Gen 248 | Best Fitness: 1008.42
Gen 249 | Best Fitness: 1008.42
Gen 250 | Best Fitness: 1008.42
Gen 251 | Best Fitness: 1008.42
Gen 252 | Best Fitness: 1008.42
Gen 253 | Best Fitness: 1008.42
Gen 254 | Best Fitness: 1008.42
Gen 255 | Best Fitness: 1008.42
Gen 256 | Best Fitness: 1008.42
Gen 257 | Best Fitness: 1008.42
Gen 258 | Best Fitness: 1008.42
Gen 259 | Best Fitness: 1008.42
Gen 260 | Best Fitness: 1008.42
Gen 261 | Best Fitness: 1008.42
Gen 262 | Best Fitness: 1008.42
Gen 263 | Best Fitness: 1008.42
Gen 264 | Best Fitness: 1008.42
Gen 265 | Best Fitness: 1008.42
Gen 266 | Best Fitness: 1008.42
Gen 267 | Best Fitness: 1008.42
Gen 268 | Best Fitness: 1008.42
Gen 269 | Best Fitness: 1008.42
Gen 270 | Best Fitness: 1008.42
Gen 271 | Best Fitness: 1008.42
Gen 272 | Best Fitness: 1008.42
Gen 273 | Best Fitness: 1008.42
Gen 274 | Best Fitness: 1008.53
Gen 275 | Best Fitness: 1008.53
Gen 276 | Best Fitness: 1008.53
Gen 277 | Best Fitness: 1008.53
Gen 278 | Best Fitness: 1008.53
Gen 279 | Best Fitness: 1008.53
Gen 280 | Best Fitness: 1008.53
Gen 281 | Best Fitness: 1008.53
Gen 282 | Best Fitness: 1008.53
Gen 283 | Best Fitness: 1008.53
Gen 284 | Best Fitness: 1008.53
Gen 285 | Best Fitness: 1008.53
Gen 286 | Best Fitness: 1008.53
Gen 287 | Best Fitness: 1008.53
Gen 288 | Best Fitness: 1008.53
Gen 289 | Best Fitness: 1008.53
Gen 290 | Best Fitness: 1008.53
Gen 291 | Best Fitness: 1008.53
Gen 292 | Best Fitness: 1008.53
Gen 293 | Best Fitness: 1008.53
Gen 294 | Best Fitness: 1008.53
Gen 295 | Best Fitness: 1008.53
Gen 296 | Best Fitness: 1008.53
Gen 297 | Best Fitness: 1008.53
Gen 298 | Best Fitness: 1008.53
Gen 299 | Best Fitness: 1008.53
Gen 300 | Best Fitness: 1008.53
Gen 301 | Best Fitness: 1008.53
Gen 302 | Best Fitness: 1008.53
Gen 303 | Best Fitness: 1008.53
Gen 304 | Best Fitness: 1008.53
Gen 305 | Best Fitness: 1008.53
Gen 306 | Best Fitness: 1008.53
Gen 307 | Best Fitness: 1008.53
Gen 308 | Best Fitness: 1008.53
Gen 309 | Best Fitness: 1008.53
Gen 310 | Best Fitness: 1008.53
Gen 311 | Best Fitness: 1008.53
Gen 312 | Best Fitness: 1008.53
Gen 313 | Best Fitness: 1008.53
Gen 314 | Best Fitness: 1008.53
Gen 315 | Best Fitness: 1008.53
Gen 316 | Best Fitness: 1008.53
Gen 317 | Best Fitness: 1008.53
Gen 318 | Best Fitness: 1008.53
Gen 319 | Best Fitness: 1008.53
Gen 320 | Best Fitness: 1008.53
Gen 321 | Best Fitness: 1008.53
Gen 322 | Best Fitness: 1008.53
Gen 323 | Best Fitness: 1008.53
Gen 324 | Best Fitness: 1008.53
Gen 325 | Best Fitness: 1008.53
Gen 326 | Best Fitness: 1008.53
Gen 327 | Best Fitness: 1008.53
Gen 328 | Best Fitness: 1008.53
Gen 329 | Best Fitness: 1008.53
Gen 330 | Best Fitness: 1008.53
Gen 331 | Best Fitness: 1008.53
Gen 332 | Best Fitness: 1008.53
Gen 333 | Best Fitness: 1008.53
Gen 334 | Best Fitness: 1008.53
Gen 335 | Best Fitness: 1008.53
Gen 336 | Best Fitness: 1008.53
Gen 337 | Best Fitness: 1008.53
Gen 338 | Best Fitness: 1008.53
Gen 339 | Best Fitness: 1008.53
Gen 340 | Best Fitness: 1008.53
Gen 341 | Best Fitness: 1008.53
Gen 342 | Best Fitness: 1008.53
Gen 343 | Best Fitness: 1008.53
Gen 344 | Best Fitness: 1008.53
Gen 345 | Best Fitness: 1008.53
Gen 346 | Best Fitness: 1008.53
Gen 347 | Best Fitness: 1008.53
Gen 348 | Best Fitness: 1008.53
Gen 349 | Best Fitness: 1008.53
Gen 350 | Best Fitness: 1008.53
Gen 351 | Best Fitness: 1008.53
Gen 352 | Best Fitness: 1008.53
Gen 353 | Best Fitness: 1008.53
Gen 354 | Best Fitness: 1008.53
Gen 355 | Best Fitness: 1008.53
Gen 356 | Best Fitness: 1008.53
Gen 357 | Best Fitness: 1008.53
Gen 358 | Best Fitness: 1008.53
Gen 359 | Best Fitness: 1008.53
Gen 360 | Best Fitness: 1008.53
Gen 361 | Best Fitness: 1008.53
Gen 362 | Best Fitness: 1008.53
Gen 363 | Best Fitness: 1008.53
Gen 364 | Best Fitness: 1008.53
Gen 365 | Best Fitness: 1008.53
Gen 366 | Best Fitness: 1008.53
Gen 367 | Best Fitness: 1008.53
Gen 368 | Best Fitness: 1008.53
Gen 369 | Best Fitness: 1008.53
Gen 370 | Best Fitness: 1008.53
Gen 371 | Best Fitness: 1008.53
Gen 372 | Best Fitness: 1008.53
Gen 373 | Best Fitness: 1008.53
Gen 374 | Best Fitness: 1008.53
Gen 375 | Best Fitness: 1008.53
Gen 376 | Best Fitness: 1008.53
Gen 377 | Best Fitness: 1008.53
Gen 378 | Best Fitness: 1008.53
Gen 379 | Best Fitness: 1008.53
Gen 380 | Best Fitness: 1008.53
Gen 381 | Best Fitness: 1008.53
Gen 382 | Best Fitness: 1008.53
Gen 383 | Best Fitness: 1008.53
Gen 384 | Best Fitness: 1008.53
Gen 385 | Best Fitness: 1008.53
Gen 386 | Best Fitness: 1008.53
Gen 387 | Best Fitness: 1008.53
Gen 388 | Best Fitness: 1008.53
Gen 389 | Best Fitness: 1008.53
Gen 390 | Best Fitness: 1008.53
Gen 391 | Best Fitness: 1008.53
Gen 392 | Best Fitness: 1008.53
Gen 393 | Best Fitness: 1008.53
Gen 394 | Best Fitness: 1008.53
Gen 395 | Best Fitness: 1008.53
Gen 396 | Best Fitness: 1008.53
Gen 397 | Best Fitness: 1008.53
Gen 398 | Best Fitness: 1008.53
Gen 399 | Best Fitness: 1008.53
Gen 400 | Best Fitness: 1008.53
Gen 401 | Best Fitness: 1008.53
Gen 402 | Best Fitness: 1008.53
Gen 403 | Best Fitness: 1008.53
Gen 404 | Best Fitness: 1008.53
Gen 405 | Best Fitness: 1008.53
Gen 406 | Best Fitness: 1008.53
Gen 407 | Best Fitness: 1008.53
Gen 408 | Best Fitness: 1008.53
Gen 409 | Best Fitness: 1008.53
Gen 410 | Best Fitness: 1008.53
Gen 411 | Best Fitness: 1008.53
Gen 412 | Best Fitness: 1008.53
Gen 413 | Best Fitness: 1008.53
Gen 414 | Best Fitness: 1008.53
Gen 415 | Best Fitness: 1008.53
Gen 416 | Best Fitness: 1008.53
Gen 417 | Best Fitness: 1008.53
Gen 418 | Best Fitness: 1008.53
Gen 419 | Best Fitness: 1008.53
Gen 420 | Best Fitness: 1008.53
Gen 421 | Best Fitness: 1008.53
Gen 422 | Best Fitness: 1008.53
Gen 423 | Best Fitness: 1008.53
Gen 424 | Best Fitness: 1008.53
Gen 425 | Best Fitness: 1008.53
Gen 426 | Best Fitness: 1008.53
Gen 427 | Best Fitness: 1008.53
Gen 428 | Best Fitness: 1008.53
Gen 429 | Best Fitness: 1008.53
Gen 430 | Best Fitness: 1008.53
Gen 431 | Best Fitness: 1008.53
Gen 432 | Best Fitness: 1008.53
Gen 433 | Best Fitness: 1008.53
Gen 434 | Best Fitness: 1008.53
Gen 435 | Best Fitness: 1008.53
Gen 436 | Best Fitness: 1008.53
Gen 437 | Best Fitness: 1008.53
Gen 438 | Best Fitness: 1008.53
Gen 439 | Best Fitness: 1008.53
Gen 440 | Best Fitness: 1008.53
Gen 441 | Best Fitness: 1008.53
Gen 442 | Best Fitness: 1008.53
Gen 443 | Best Fitness: 1008.53
Gen 444 | Best Fitness: 1008.53
Gen 445 | Best Fitness: 1008.53
Gen 446 | Best Fitness: 1008.53
Gen 447 | Best Fitness: 1008.53
Gen 448 | Best Fitness: 1008.53
Gen 449 | Best Fitness: 1008.53
Gen 450 | Best Fitness: 1008.53
Gen 451 | Best Fitness: 1008.53
Gen 452 | Best Fitness: 1008.53
Gen 453 | Best Fitness: 1008.53
Gen 454 | Best Fitness: 1008.53
Gen 455 | Best Fitness: 1008.53
Gen 456 | Best Fitness: 1008.53
Gen 457 | Best Fitness: 1008.53
Gen 458 | Best Fitness: 1008.53
Gen 459 | Best Fitness: 1008.53
Gen 460 | Best Fitness: 1008.53
Gen 461 | Best Fitness: 1008.53
Gen 462 | Best Fitness: 1008.53
Gen 463 | Best Fitness: 1008.53
Gen 464 | Best Fitness: 1008.53
Gen 465 | Best Fitness: 1008.53
Gen 466 | Best Fitness: 1008.53
Gen 467 | Best Fitness: 1008.53
Gen 468 | Best Fitness: 1008.53
Gen 469 | Best Fitness: 1008.53
Gen 470 | Best Fitness: 1008.53
Gen 471 | Best Fitness: 1008.53
Gen 472 | Best Fitness: 1008.53
Gen 473 | Best Fitness: 1008.53
Gen 474 | Best Fitness: 1008.53
Gen 475 | Best Fitness: 1008.53
Gen 476 | Best Fitness: 1008.53
Gen 477 | Best Fitness: 1008.53
Gen 478 | Best Fitness: 1008.53
Gen 479 | Best Fitness: 1008.53
Gen 480 | Best Fitness: 1008.53
Gen 481 | Best Fitness: 1008.53
Gen 482 | Best Fitness: 1008.53
Gen 483 | Best Fitness: 1008.53
Gen 484 | Best Fitness: 1008.53
Gen 485 | Best Fitness: 1008.53
Gen 486 | Best Fitness: 1008.53
Gen 487 | Best Fitness: 1008.53
Gen 488 | Best Fitness: 1008.53
Gen 489 | Best Fitness: 1008.53
Gen 490 | Best Fitness: 1008.53
Gen 491 | Best Fitness: 1008.53
Gen 492 | Best Fitness: 1008.53
Gen 493 | Best Fitness: 1008.53
Gen 494 | Best Fitness: 1008.53
Gen 495 | Best Fitness: 1008.53
Gen 496 | Best Fitness: 1008.53
Gen 497 | Best Fitness: 1008.53
Gen 498 | Best Fitness: 1008.53
Gen 499 | Best Fitness: 1008.53
--- Best Run Simulation ---
LANDED!
